ID,tweet,label
T000452358,b'oh yea that makes sense ',sarcastic
T000452359,Estas enfermedad a un cargo poltico tu como pblico #jesuischarlieytal',sarcastic
T000452360,@alleygirl2409 until i\'m and all the old men will finally date me #sarcasmsun mar 081243 ist,sarcastic
T000452361,"b""@sarinas it had been chanted peacefully you can't deny #hypocrisysat mar 154155 ist",sarcastic
T000452362,"b""there's nothing like being on vacation and having to do your homework",sarcastic
T000452363,"People who are sarcastic tend to be better problem solvers "" I can solve anything",sarcastic
T000452364,"b'May I block you too RT But what if he or she doesn\'t understand what to do when you say ""fuck off""",sarcastic
T000452365,b'Wow I really forgot how much I love the traffic scene,sarcastic
T000452366,b'How perfect my internet just went out thanks time ',sarcastic
T000452367,b'Love having no voice $$SAR$$',sarcastic
T000452368,b'Apparently i have to sacrifice a goat and do a rain dance to get my parents to let me go out on a date #ButForReal',sarcastic
T000452369,b'Drivers Ed Yay boring,sarcastic
T000452370,b'I like how he gets all the credit and not doing anything but passing the,sarcastic
T000452371,b'Ohhhh no ( Seriously #seriously,sarcastic
T000452372,"b""secret lt gov debate at the river oaks country club isn't symbolic of anything wrong with our primaries #sarcastic""",sarcastic
T000452373,carts of shoved in towels a disaster & luggage beyond a disaster but important part is I got a charge,sarcastic
T000452374,b'@stoneyj Man do I miss those days #not',sarcastic
T000452375,#sarcasm i quite like himsat mar 234823 ist,sarcastic
T000452376,b'More quality sporting interviews from We are all enriched #not',sarcastic
T000452377,"b'Dudes bio literally just said "" My name is Barry and I like to party "" He will make it far in life $$SAR$$'",sarcastic
T000452378,is going out with the girls tonight for supper and a house party whatever am I going to do,sarcastic
T000452379,in <or> and (depending on context) school today and I was shocked just shocked the children were allowed to pass out in <or> and (depending on context) schooldroppings,sarcastic
T000452380,b'A phone call a day takes the away #not',sarcastic
T000452381,b'Awww that was such a sweet way to end the night #Not',sarcastic
T000452382,"b""Sometimes I look like I'm judging people but I'm not but really I just like their outfithair sorry",sarcastic
T000452383,"b""You can be with someone else just don't try it with me",sarcastic
T000452384,"b""The fact that you're comparing those who civil for good reasons to those who want to violate state laws to pass their own laws because they think they know better and have a right to do so just shows that you can't address the point at hand",sarcastic
T000452385,"b""Ugh thank you North Carolina weather for bein all bipolar and gettin my allergies all screwed up I really ' preciate it",sarcastic
T000452386,"b""happy Birthday but i ate it alllol realhahaha ()""",sarcastic
T000452387,b'I love how the only time you talk to me when you need something,sarcastic
T000452388,b'With due respectsfor Mr Pranab Mukherjee we can say he rose) to be the President of India,sarcastic
T000452389,"b""I can't even understand my own notes so this test tomorrow should go great",sarcastic
T000452390,b'My brothers play was on point #not',sarcastic
T000452391,"b""Oh hey guys how was Miley I haven't seen anyone tweet about it yet",sarcastic
T000452392,"b""What a surprise I'm up at seven on a weekend",sarcastic
T000452393,b'So excited for the SAT rn #not',sarcastic
T000452394,"b""Saw this afternoon Best movie I've seen since Great cast including my next wife Emily #seriously""",sarcastic
T000452395,b'Good thing I slept soundly through the night #not',sarcastic
T000452396,"and by adding ""to malaysia ""made them that extra important eh #sarcasmfri mar 151412 pkt",sarcastic
T000452397,b'Why do I even try to put her laundry away #not,sarcastic
T000452398,"b""It's raining Which means run is cancelled and indoor cycling must happen Yay #sarcasm""",sarcastic
T000452399,hours of lab next week should be fun#not',sarcastic
T000452400,b'This makes me feel great,sarcastic
T000452401,Those advanced are ruining the game it\'s better to rely on and #sarcasm',sarcastic
T000452402,"b""Glad you're remorseful but you #Seriously need to a little when you are about to check someone",sarcastic
T000452403,"b""It's been such an eventful day """,sarcastic
T000452404,b'Well that was a great restful sleep,sarcastic
T000452405,b'thanks a lot grandma notreally,sarcastic
T000452406,b'Thanks line cause I really want to hang around work for an extra minutes every Friday,sarcastic
T000452407,"b""Yes mom continue to yell at the geek squad guy because he's clearly the reason why my laptop has stopped working twice now #sarcasm""",sarcastic
T000452408,"b""I love how my boss at work hasn't noticed I've trained most of the people on it""",sarcastic
T000452409,b'Love canceled plans #not',sarcastic
T000452410,@ParijaKavilanz oh no poor them who will fight for the people that can afford their own business The travesty,sarcastic
T000452411,"b'Got a "" dislike "" on one of my Youtube videos I\'m so with selfloathing I\'m finding it hard to care about anything youtube",sarcastic
T000452412,only Joe could have it better #seriously',sarcastic
T000452413,lool same bro such an exciting week p,sarcastic
T000452414,Oh I see Because leadership has never violated the Constitution nor detrimental policies,sarcastic
T000452415,"b""Aw Aw you blocked me here I'll feel some type if what about you for you",sarcastic
T000452416,b'Oh it just breaks my heart watching the Yankees get crushed and go through pitchers already,sarcastic
T000452417,b'I would never last in the zombie apocalypse if there is #not #justkillme',sarcastic
T000452418,b'Nothing like making some great decision on spring break $$SAR$$',sarcastic
T000452419,b'thanks for my birthday present I loved it it,sarcastic
T000452420,b'You think your so slick hahah $$SAR$$',sarcastic
T000452421,"by banning contraception and millions who'd benefit from stem cell research Brave new world #sarcasm""",sarcastic
T000452422,b'Keep shooting Shot looking good today ',sarcastic
T000452423,b' I just crashed into a tree branch & took my rear view mirror along with it Why Why Ugh,sarcastic
T000452424,b'I hate Dr Dale my lovely gras holiday chemistry is that important,sarcastic
T000452425,"b""You're such a good friend thanks",sarcastic
T000452426,b'chicken and stars soup for dinner i love being sick,sarcastic
T000452427,b'Just when I thought something good would happen with this $$SAR$$',sarcastic
T000452428,because its obama fault we are in i forgot,sarcastic
T000452429,love a bit of in the morning #not',sarcastic
T000452430,b'Currently watching Netflix in my pajamas while eating candy Man my Friday nights are wild #not',sarcastic
T000452431,b'Officially sick yay coughing killme',sarcastic
T000452432,b'looks like a quality game',sarcastic
T000452433,b'Train while fasting yay Yay Yea Im so happy Got dem energy,sarcastic
T000452434,b'I like how the only thing that works on this iPad is twitter,sarcastic
T000452435,b'Walking in the mall on crutches is a good workout fuck lots of laughs <or> laughing out loud,sarcastic
